name,package_name,description,icon_url,genre,rating,ratings
Pokémon GO,com.nianticlabs.pokemongo,"New! Now you can battle other Pokémon GO Trainers online! Try the GO Battle League today!

Join Trainers across the globe who are discovering Pokémon as they explore the world around them. Pokémon GO is the global gaming sensation that has been downloaded over 1 billion times and named “Best Mobile Game” by the Game Developers Choice Awards and “Best App of the Year” by TechCrunch.
_______________

Uncover the world of Pokémon: Explore and discover Pokémon wherever you are!
 
Catch more Pokémon to complete your Pokédex!
 
Journey alongside your Buddy Pokémon to help make your Pokémon stronger and earn rewards!

Compete in epic Gym battles and...Team up with other Trainers to catch powerful Pokémon during Raid Battles!
 
It’s time to get moving—your real-life adventures await! Let’s GO!
_______________

Notes: 
- This app is free-to-play and offers in-game purchases. It is optimized for smartphones, not tablets.
- Compatible with Android devices that have 2GB RAM or more and have Android Version 6.0–10.0+ installed.
- Compatibility is not guaranteed for devices without GPS capabilities or devices that are connected only to Wi-Fi networks.
- Application may not run on certain devices even if they have compatible OS versions installed.
- It is recommended to play while connected to a network in order to obtain accurate location information.
- Compatibility information may be changed at any time.
- Please visit PokemonGO.com for additional compatibility information. 
- Information current as of October 20, 2020.",https://play-lh.googleusercontent.com/6qUR3CmTyz3lMdMK8GENfibQ9ZQIIgHIP3_pgnYcuG04ykheKtl-dhyPzjlvhF_MANI,Adventure,3.988406,"100,000,000+"
Monster Legends,es.socialpoint.MonsterLegends,"Breed and train monsters of all elements and rarities! Build your fighting force and face the ultimate challenge: Battles against other Monster Masters! 

Discover the universe of Monster Legends and the story of its inhabitants. Start by building a city for your monsters, fill it with habitats, and breed new species! Then, collect monsters and choose your strategy in action-packed battles.

UNIQUE MONSTERS AWAIT
- Collect over 900 monsters: There are new monsters every week!
- Breed monsters of different elements and rarities to create cool new species.
- Obtain incredible monsters of all types in the game’s limited-time events.

RPG PROGRESSION & STRATEGY
- Level up your monsters for the battles ahead and rank them up in the Monster Lab.
- Boost your monsters’ powers with Runes, Relics, Beasts, and Talents to gain advantages in battle.
- Set your strategy combining attackers, tanks, and control monsters.

REAL-TIME MULTIPLAYER BATTLES
- Challenge other Monster Masters in real-time Live Duels.
- Battle in the Multiplayer Mode for trophies, rewards, and a chance to reach the top Leagues.
- Fight your way through the Era Saga Dungeons to unveil the story of Monster Legends.

YOUR MONSTER PARADISE
- Build your Breeding Mountain, Farms, and Habitats straight away!
- Unlock special buildings like the Library and the Monster Lab.

DON’T DO IT ALONE
- Join a Team and enjoy exclusive events such as Wars and Marathons.
- Use the Team Chat to build a strategy with your teammates.

Are you skillful enough to become the #1 Monster Master in the world?

Connect with the Monster Legends Community:
Facebook: https://www.facebook.com/MonsterLegends
Instagram: https://www.instagram.com/monsterlegends
Youtube: https://www.youtube.com/MonsterLegendsGame
Twitter: https://twitter.com/Monster_Legends
Discord: https://discord.gg/monsterlegends

Monster Legends is FREE to download and includes optional in-game purchases (including random items). Information about drop rates for random item purchases can be found in-game. If you wish to disable in-game purchases, please turn off the in-app purchases in your phone or tablet’s Settings.

Do Not Sell My Personal Information: https://www.take2games.com/ccpa/",https://play-lh.googleusercontent.com/vzNcfTmzrLU1Wg90fuY1o5J9_LhGM5WguTbFhC88gW-H2bFKlr7jpKZGJ0msGS-GBp6F,Strategy,4.5852456,"50,000,000+"
Google Play Games,com.google.android.play.games,"Games are more fun with the Google Play Games app. We'll help you find your next favorite game – from action to puzzles. And with ""Instant play,"" many games require no installation. Really. Save your progress and track your achievements as you level up. Plus, you can pick up where you left off from any device.

KEY FEATURES
• <b>Instant play:</b> There’s no installation needed – look for the ""Instant play"" button to instantly play full games.
• <b>Built-in Google games:</b> Play Solitaire, Minesweeper, Snake, PAC-MAN, Cricket, and Whirlybird – even when you’re offline.
• <b>Save your progress:</b> Your progress is automatically saved to the cloud when you see ""Progress saved by Play Games.""
• <b>Gamer profile:</b> Create a custom gamer ID, unlock achievements, earn XP, and level up.
• <b>Gameplay recording:</b> Easily record and share your best gameplay moments.",https://play-lh.googleusercontent.com/wpRQkfqbkPztp1US6HDr8E41We8GyY-B4CG1PMmWI3WKDk9OeYh4ehXwKIfZB7dm-sc,Entertainment,4.2456145,"5,000,000,000+"
Mortal Kombat,com.wb.goog.mkx,"Get over here and immerse yourself in the iconic and visceral action of MORTAL KOMBAT MOBILE anytime, anywhere. Kollect legendary fighters like Scorpion, Sub-Zero, Raiden, and Kitana and fight in epic 3v3 battles set in the Mortal Kombat universe. This visually stunning fighting and card collection game has multiple modes and re-introduces characters and lore from Mortal Kombat’s 30-Year fighting game legacy. Launch into the action today and prove yourself in the greatest fighting tournament in all of the realms!

MASSIVE CHARACTER ROSTER
The roster is stacked with over 150 Mortal Kombat fighters spanning from the arcade days to the New Era of Mortal Kombat 1. Kollect the klassic fighters from MK3, legendary kombatants from MKX and MK11, and even reimagined fighters like Shang Tsung from MK1! The roster also features mobile exclusive variants like the Kombat Cup Team, as well as notorious guest fighters like Freddy Krueger, Jason Voorhees, and the Terminator.

BRUTAL 3v3 KOMBAT
Assemble your own team of versatile Mortal Kombat fighters and lead them into battle to earn experience, level up your attacks, and knock out the kompetition in Faction Wars. Each fighter has a set of unique attacks, like Sindel’s Banshee Scream, and Kabal’s Dash and Hook. Strategize with different team combinations such as the MK11 team or Day of the Dead team to maximize synergies and get an advantage over your enemies.

EPIC FRIENDSHIPS & BRUTALITIES
Mortal Kombat brings its trademark Friendships and Brutalities to mobile! Equip your Diamond fighters with the right Gear and unleash these over-the-top and iconic moves. Hug your evil twin with Kitana’s Friendship. Feel the power of Nightwolf’s Tomahawk with his Skull Cracker Brutality!

LORE-BASED TOWER EVENTS
Fight to the top of single-player Tower events to unlock exclusive tower-themed Equipment and earn impressive game rewards. Battle through the tower levels and knock out Bosses like Scorpion in the Shirai Ryu Tower, Sub-Zero in the Lin Kuei Tower, and Johnny Cage in the Action Movie Tower. Claim victory and Test Your Might in the Fatal versions for an extra challenge! 

THE KRYPT
Shang Tsung’s Krypt awaits! Choose your own path and crawl through the Krypt to find hidden treasures that lie beyond the Fog. Explore and fight through the map to earn Krypt Hearts and Konsumables to unlock featured Diamond Fighters and Equipment!

MULTIPLAYER FACTION WARS
Compete and fight with other players in Faction Wars, an online competitive arena mode where players duel against other players' teams. Climb the ranks of your Faction’s leaderboard to earn seasonal prizes

WEEKLY TEAM CHALLENGES
Prove yourself in epic battles and complete a series of matches to bring new Mortal Kombat warriors to your roster! Come back every week to take on different fighting Challenges and kontinue to expand and level up your game Kollection with fighters like Jade, Sub-Zero, and Goro!

KOMBAT PASS SEASONS
Earn a variety of rewards including Souls, Dragon Krystals, and more by completing specific game objectives. Ascend featured Gold fighters like Warlock Quan Chi and Aftershock Tremor to instantly make them stronger and unlock their ability to perform a Brutality!

FEATS OF STRENGTH
Unlock unique Mortal Kombat profile and victory kustomizations by completing certain character objectives! Design your War Banner to show off in Faction War fights and gain Kombat stat bonuses by unlocking certain Feats of Strength.

Download this groundbreaking, free fighting game TODAY and unleash your power!",https://play-lh.googleusercontent.com/FHyo-8OuAN3P6_wJi21bayf8KltZ_ZWpE7n6M5lROrl-U3QeSjvbgi8clOhdaY_M5jY,Action,4.2033324,"100,000,000+"
EA SPORTS FC™ Mobile Soccer,com.ea.gp.fifamobile,"FIFA Mobile is now EA SPORTS FC™ Mobile Soccer! The World's Game, in your pocket.

Train and build your dream Football Ultimate Team™ of soccer legends and put them to the test. Collect Player Items of world-class talent like Erling Haaland, Jude Bellingham, Virgil van Dijk, and Son Heung-min. Take control in the latest version of your favourite online soccer game.

Manage teams from your favourite soccer league – Real Madrid from LALIGA EA SPORTS™, Manchester City from the Premier League, and many more. Score goals with some of your favourite players as you level up your dream team of soccer stars from the 23/24 season. Join a league with your friends & compete against the best in PvP games including Head-to-Head, VS Attack and Manager Mode.

Join the next generation of soccer legends with EA SPORTS FC.

NEXT-LEVEL GAMEPLAY
- True Player Personality: Reflecting authentic player characteristics, with tangible attribute impact and animation diversity
- Dynamic Game Speed: Mobile-first and tactile game speed, allowing for a more exciting sports game experience
- Elite Shooting System: Realistic shot system allows impact players to make their mark

CHALLENGE YOUR FRIENDS & WATCH LEAGUE MATCHES LIVE
- Join a league with friends and challenge them to a match
- Share your league match broadcasts so your league mates can watch live
- Watch your league mates compete in their H2H matches, or watch the recording for up to a week post match
- Start a League Tournament and battle other Leagues to top the leaderboard

IMMERSIVE NEXT-LEVEL SOCCER GAME
- Immersive Broadcast Experience bringing an authentic feel to your online soccer games
- Discover new dynamic cameras and impactful replays
- Soccer fans can experience realistic stadium SFX and live on-field commentary
- Unlock stadiums and weather modes for an enhanced soccer matchday

SOCCER LEGENDS, LEAGUES & COMPETITIONS
- EA SPORTS FC MOBILE is home to the biggest competitions, leagues, and players across the world’s game with more than 15,000 fully licensed players, 650+ teams, and 30+ leagues
- Premier League, UEFA Champions League, LALIGA EASPORTS, Bundesliga, Ligue 1, Serie A, , and many more are playable throughout the season
-UEFA European Championship coming this summer!
- Get on the pitch with world soccer stars: Erling Haaland, Jude Bellingham, Virgil van Dijk, Son Heung-min and many more
- Play with soccer legends and ICONs: Ronaldinho, Steven Gerrard & Wayne Rooney

UCL TOURNAMENT MODE
- Play the Champions League with all 32 qualified teams
- Experience the authentic UCL broadcasting package, UCL stadium art, official UCL ball and the iconic trophy ceremony

FIFA Mobile is now FC Mobile. Welcome to the club.

This app: Requires acceptance of EA’s User Agreement and Privacy & Cookie Policy. Do Not Sell My Personal Information: https://tos.ea.com/legalapp/WEBPRIVACYCA/US/en/PC/ Requires an Internet connection (network fees may apply). Allows players (above the minimum age of digital consent in their country) to communicate via League chat; to disable for users under the age of majority with League chat access, use your device's parental controls. Includes in-game advertising. Contains direct links to the Internet and social networking sites intended for an audience over 13. The app uses Google Play Game Services. Log out of Google Play Game Services before installation if you don’t want to share your game play with friends. This game includes optional in-game purchases of virtual currency that can be used to acquire virtual in-game items, including a random selection of virtual in-game items. FC Points not available in Belgium.

User Agreement: terms.ea.com
Privacy and Cookie Policy: privacy.ea.com
Visit help.ea.com for assistance or inquiries.
EA may retire online features after 30 days’ notice posted on ea.com/service-updates.",https://play-lh.googleusercontent.com/opydYHj2_Mg7si7_gcEHYtdIL09CU32oqTSTPfBe0a-IL_9hpo6R_TK1l0hBsw1lOkGx,Sports,4.2189093,"500,000,000+"
Fishdom,com.playrix.fishdomdd.gplay,"Never Fishdomed before? Take a deep breath and dive into an underwater world of match-3 fun with Fishdom, an all-new free game!
 
Try challenging and fun match-3 gameplay with unique puzzles as you decorate aquariums to create cozy homes for lovely talking fish. Feed them, play with them, and watch them interact with each other. Hey, your finned friends are waiting for you, so dive in now and enjoy this amazing underwater adventure!
 
Features:
● Unique gameplay: swap and match pieces, design and decorate aquariums, play with and take care of fish—all in one puzzle game!
● Play hundreds of challenging and fun match-3 levels
● Compete with other players to develop your aquarium even faster
● Explore an exciting aquatic world with funny talking 3D fish that each have their own personality
● Liven up fish tanks with breathtaking underwater decor
● Grab your scuba mask and enjoy amazing aquarium graphics
● It’s a blast for everyone: share your Fishdom mania with your Facebook friends!
● No Wi-Fi or internet connection required to play
 
Please note that Fishdom is free to play, though some in-game items can also be purchased for real money.
 
Enjoying Fishdom? Learn more: Facebook: facebook.com/Fishdom Instagram: https://www.instagram.com/fishdom_mobile/ Twitter: https://twitter.com/FishdomOfficial
 
Questions? Contact our Tech Support by sending an email to fishdom@playrix.com or check our Web Support Portal: https://plrx.me/2IKJXyB6HR

Terms of Use : https://playrix.com/en/terms/index.html

Privacy Policy: https://playrix.com/en/privacy/index.html",https://play-lh.googleusercontent.com/ufnNKnPUgmmoM-IkudoMJoMNAVIlfSL39B2b2UqS_LRn9SnabvriXozaiA7K9pgDr9g,Puzzle,4.583531,"100,000,000+"
Need for Speed™ No Limits,com.ea.game.nfs14_row,"Rule the street racing Underground as you race in the first Need for Speed made just for mobile! Conquer the asphalt of Blackridge city, engage your nitro, and tune your cars — from the game developer that brought you Real Racing 3! 

Build the car collection of your dreams by acquiring cars, tuning them, and customizing them to your style. Launch yourself between chaos and control as you drift and roll into underground street racing. 

Take down the competition, engage your nitro, up your street rep, and burst into traffic - more races, customizations, and cars! Leave your mark on the city and never look back in this exciting racing game.

Note: This app offers in-app purchases. You may disable in-app purchases using your device settings.

A RACING GAME WITH NO LIMITS

Become a master car builder with the customization system, giving you over 2.5 million tuning combos to play with. Your rides are waiting – test them on the asphalt of the city’s street racing scene.

Level-up your driving game with the real-world dream cars you’ve always wanted - from manufacturers such as Bugatti, Lamborghini, McLaren, and many more top car brands. 

DRIVE FAST — AND FEARLESS

Steer onto the asphalt of the Blackridge street racing scene, zip around debris, into traffic, against walls, and through high-speed Nitro Zones!

Around every corner is a fresh racing rival — clash with local crews and evade cops. Get your driving game face on and earn unparalleled respect.

RACE TO WIN

Never back down as you take on extreme street racing, and never stop hitting nitro against anyone crazy enough to take you on. Increase your rep by any means necessary!

Drift, drag, and roll your ride to the finish line while outrunning the police on your tail. Heat up the asphalt in over 1,000 challenging races in the infamous street racing city. Invest further into car tuning, be notorious, don’t save your nitro — and change the racing game forever!

---------------------
User Agreement: terms.ea.com
Visit https://help.ea.com/ for assistance or inquiries.

EA may retire online features and services after 30 days’ notice posted on www.ea.com/1/service-updates

Important Consumer Information:

This app: requires a persistent Internet connection (network fees may apply); Requires acceptance of EA’s Privacy & Cookie Policy and User Agreement. includes in-game advertising; collects data through third party analytics technology (see Privacy & Cookie Policy for details); contains direct links to the Internet and social networking sites intended for an audience over 13.",https://play-lh.googleusercontent.com/QWeG8SH8NCID_fVDZwkDyRaZtKYrFvFckviICajpShYvoK2cXgqHevOJ_Zdx6EsfyoBl,Racing,4.4209056,"100,000,000+"
MONOPOLY GO!,com.scopely.monopolygo,"Hit GO! Roll the dice! Earn MONOPOLY money, interact with your friends, family members and fellow Tycoons from around the world as you explore the expanding universe of MONOPOLY GO! It’s the new way to play - board flipping cleanup not required!

Take a Break!

Escape, enjoy, dream, scheme and stay in touch with this newly reimagined twist on MONOPOLY! Let everyone’s favorite zillionaire, Mr. MONOPOLY, be your guide as you explore new boards themed after world-famous cities, fantastical lands and imaginative locales.

So MONOPOLY GO!

Experience classic fun and visuals with gameplay fit for your phone! Collect Properties, build Houses and Hotels, pull Chance Cards, and of course, earn that MONOPOLY Money! Play with your favorite game Tokens such as the Racecar, Top Hat, Battleship, and more. Earn more tokens as you go! 

See MONOPOLY icons like Mr. M, Scottie and Ms. MONOPOLY come to life, and brand new characters too!

Your Family Table!

Help or hinder! -  You and friends can earn easy money with Community Chest and co-op events! Or heist their banks to help yourself get to the top. Don’t feel bad!

Collect and trade story-filled Stickers with friends and family and in our MONOPOLY GO! Facebook Trading Groups! Complete gorgeous, clever albums for huge rewards!

Features!

BUY & BUILD YOUR WAY TO THE TOP

Collect Property Tile Sets to build Houses and upgrade your Houses to Hotels to get even more rent from friends! All you have to do is hit GO!

ENJOY THAT CLASSIC MONOPOLY ATMOSPHERE

Roll the dice to enjoy the classic MONOPOLY board you know and love. Featuring familiar faces such as MR. MONOPOLY, and familiar spaces such as jail (womp womp!), Railroads, Properties, Tokens and more! 

PLAY WITH FRIENDS AND FAMILY

Get social! Play with friends to take full advantage of new mini-games such as Community Chest – where you and friends take a break from mischief and work together! 

NEW OPPORTUNITIES EVERY DAY

Play Tournaments, the Prize Drop plinko mini-game, the Cash Grab mini-game and follow our Events for big rewards. With new Events running every hour, there are new ways to play and win every day!

MONOPOLY GO! is free to play, though some in-game items can also be purchased for real money. Internet connection is required to play the game.

The MONOPOLY name and logo, the distinctive design of the game board, the four corner squares, the MR. MONOPOLY name and character, as well as each of the distinctive elements of board and playing pieces are trademarks of Hasbro, Inc. for its property trading game and game equipment. © 1935, 2023 Hasbro.

Privacy Policy:
https://scopely.com/privacy/

Terms of Service:
http://scopely.com/tos/

Additional Information, Rights, and Choices Available to California Players: https:scopely.com/privacy/
#additionalinfo-california

By installing this game you agree to the terms of the license agreements.",https://play-lh.googleusercontent.com/DfYkSl-nQoMNLX2bec7EwHemrvyDYmDgzIR1jcsyt0ZAcmO_SKjuu0a1o1iSwtnl8_g,Board,4.4648404,"50,000,000+"
Mario Kart Tour,com.nintendo.zaka,"■Challenge players worldwide in multiplayer!
You can race against up to seven other players, whether they're registered as in-game friends, nearby, or scattered around the world.

Multiplayer races can be customized with a variety of rules, such as individual or team races, kart speed, and number of item slots. You can play however you want!

■ Mario Kart takes a world tour!
Mario and friends go global in this new Mario Kart as they race around courses inspired by real-world cities in addition to classic Mario Kart courses! These destinations will be featured in tours that rotate every two weeks! In addition to courses based on iconic locales, some of your favorite Mario Kart characters will get variations that incorporate the local flavor of cities featured in the game!

■ Endless Mario Kart fun at your fingertips!
The Mario Kart series known and loved by many is ready to take the world by storm – one smart device at a time! With just one finger, you can steer and drift with ease and sling devastating items as you go for the gold in cups filled with new and classic Mario Kart courses.

■ Nab 1st place with items and Frenzy mode!
In Mario Kart Tour you have access to an arsenal of powerful items that can mix things up on the racetrack! Turn up the heat by activating the new Frenzy mode, which gives an unlimited supply of a certain item and makes you invincible! Make the most of the ensuing chaos, as Frenzy mode only lasts a short time!

■ Collect drivers, karts, badges, and more!
Earn Grand Stars by racing or fire off the featured pipe to receive more drivers, karts, and gliders! You can also proudly display badges, earned by completing certain challenges, next to your in-game name!

■ Bonus challenge courses put a twist on traditional races!
In certain races, 1st place isn't always the goal. With names like ""Vs. Mega Bowser"" and ""Goomba Takedown,"" these bonus challenge courses demand a different approach to gameplay and strategy!

■ Race to increase your online rank!
Boost with the best of 'em! Your high scores will determine how you compare to other players all over the world. Keep practicing and trying out different combinations of drivers, karts, and gliders to increase your score and rise to the top!

Note: A Nintendo Account is required to play Mario Kart Tour.

* Free-to-start; optional in-game purchases available. Persistent Internet, compatible smartphone, and Nintendo Account required. Data charges may apply.
* For information about our ads, please see the “How we use your information” section of the Nintendo Privacy Policy.
* May include advertising.

User Agreement:
https://support.mariokarttour.com/application_eula

© 2019 Nintendo
Mario Kart is a trademark of Nintendo.",https://play-lh.googleusercontent.com/Nhdcc77MHYfXR9LoVhhkpnKbhwpZpCLKfl8dUwVhyqgflBQ5ROBtLsn_2fIongMYeoo6,Action,4.3064795,"100,000,000+"
Roblox,com.roblox.client,"Roblox is the ultimate virtual universe that lets you create, share experiences with friends, and be anything you can imagine. Join millions of people and discover an infinite variety of immersive experiences created by a global community!

Already have an account? Log in with your existing Roblox account and explore the infinite metaverse of Roblox.

MILLIONS OF EXPERIENCES

In the mood for an epic adventure? Want to compete against rivals worldwide? Or do you just want to hang out and chat with your friends online? A growing library of experiences created by the community means there’s always something new and exciting for you every day.

EXPLORE TOGETHER ANYTIME, ANYWHERE

Take the fun on the go. Roblox features full cross-platform support, meaning you can join your friends and millions of other people on their computers, mobile devices, Xbox One, or VR headsets.

BE ANYTHING YOU CAN IMAGINE

Be creative and show off your unique style! Customize your avatar with tons of hats, shirts, faces, gear, and more. With an ever-expanding catalog of items, there’s no limit to the looks you can create.

CHAT WITH FRIENDS

Hang out with friends around the world using chat features, private messages, and groups!

CREATE YOUR OWN EXPERIENCES: https://www.roblox.com/develop
SUPPORT: https://en.help.roblox.com/hc/en-us
CONTACT: https://corp.roblox.com/contact/
PRIVACY POLICY: https://www.roblox.com/info/privacy
PARENT’S GUIDE: https://corp.roblox.com/parents/
TERMS OF USE: https://en.help.roblox.com/hc/en-us/articles/115004647846

PLEASE NOTE: A network connection is required to join. Roblox works best over Wi-Fi.",https://play-lh.googleusercontent.com/WNWZaxi9RdJKe2GQM3vqXIAkk69mnIl4Cc8EyZcir2SKlVOxeUv9tZGfNTmNaLC717Ht,Adventure,4.436438,"500,000,000+"
