name,package_name,description,icon_url,genre,rating,ratings
Vector Classic,com.nekki.vector.paid,"Parkour-inspired action game is now available! Vector lets you break free and run! Don't get caught!

Vector is an exciting, arcade-style game featuring you as the exceptional free runner who won’t be held down by the system. The game opens with a view into a totalitarian world where freedom and individually is nothing more than a distant dream. But the heart of a freerunner is strong, and you soon break free. Run, vault, slide and climb using extraordinary techniques based on the urban ninja sport of Parkour all while being chased by “Big Brother” who’s sole purpose is to capture you and bring you back.

Inspired by the practice and principles of Parkour, Vector’s intuitive controls please players of all levels, and sophisticated level designs challenge the most demanding players with fast-paced timing puzzles as the traceur “flows” over the dystopian rooftops.

Game Features:
- Arcade gameplay from the makers of the Shadow Fight games
- Astoundingly lifelike Parkour-inspired moves made possible by Cascadeur animation tools
- 40+ challenging levels
- Quick to learn, challenging to master",https://play-lh.googleusercontent.com/ZNQukmcuKWamE99e69EdDOLPl0zfrl4zsDcIPIZs-ZC_4TYQaj58ch8-FxiOSudCVqU,Arcade,4.71777,"1,000,000+"
LIMBO,com.playdead.limbo.full,"What the press said: 

“Limbo is as close to perfect at what it does as a game can get.” 
10/10 – Destructoid 

“The game is a masterpiece.” 
5/5 – GiantBomb 

“Limbo is genius. Freaky, weird genius. Disturbing, uncomfortable genius.” 
5/5 – The Escapist 

“Dark, disturbing, yet eerily beautiful, Limbo is a world that deserves to be explored.” 
5/5 – Joystiq 

Winner of more than 100 awards, including: 

Gameinformer’s “Best Downloadable” 
Gamespot’s “Best Puzzle Game” 
Kotaku’s “The Best Indie Game” 
GameReactor’s “Digital Game of the Year” 
Spike TV’s “Best Independent Game” 
X-Play’s “Best Downloadable Game” 
IGN’s “Best Horror Game”

Limbo is an award-winning indie adventure, critically acclaimed for its captivating puzzle design and immersive sound and visuals. Its dark, misty spaces and haunting narrative will stay with you forever.",https://play-lh.googleusercontent.com/FJ8e7NYhyjzrjuROUSpigJ1TQNnZKUDh6AZc1SFjiD665bZsxr_7zus0DzlHIrC6Lgk,Adventure,4.4802732,"1,000,000+"
Terraria,com.and.games505.TerrariaPaid,"DIG! FIGHT! EXPLORE! BUILD! Join the community of millions of Terrarians!

TERRARIA MOBILE REBUILT FROM THE GROUND UP – NEW AND IMPROVED 1.4.4 UPDATE INCLUDING LABOR OF LOVE CONTENT!

""This is the full version of Terraria, built from the ground up... If you loved it on PC or consoles, you’ll love it here.” - Slide To Play

The very world is at your fingertips as you fight for survival, fortune, and glory. Delve deep into cavernous expanses, seek out ever-greater foes to test your mettle in combat, or construct your own city - In the World of Terraria, the choice is yours!

We recommend at least 2GB of RAM and a device from 2014 or newer. We support devices running Android 5.0 with 1GB of RAM and compatible graphics, but these devices may experience reduced performance.

• MULTIPLAYER – Play with up to 7 friends on Local Wifi or Online via device-device Wifi hosted games or through the Mobile Terraria Dedicated Server for PC (available for free on Terraria.org)
• TERRARIA REIMAGINED FOR MOBILE – Fully customizable controls and User Interface provide a level of polish and capability not previously possible!
• Gamepad support – including fully-remappable buttons - Play with your Bluetooth connected gamepad where supported.
• Full array of World sizes – Small/Medium/Large...the same size as on Terraria for PC!  Now includes random world name generator and the ability to use World Seeds (including some hidden easter egg worlds)
• Over 400 enemies to combat, defeat, and plunder for loot
• Over 20 Biomes and Mini-Biomes to explore, both above and underground – from lush forests to barren deserts to dungeons, the underworld, and even the terrifying Corruption await!
• Updated crafting with multiple added item options
• Over 20 NPCs to discover, each providing their own benefits and unique style
• In-depth building options that are easy to learn but allow for amazing feats of architecture in the hands of a master.
• And much, much more!

In short, every pixel of Terraria has been reimagined and hand crafted for the BEST possible mobile experience!
Follow us on Twitter @Terraria_Logic and @505_Games

Join our community on Discord @ http://Discord.GG/Terraria

Like us on Facebook at www.facebook.com/TerrariaOfficial and https://www.facebook.com/505Games

Visit us on the web at www.terraria.org

Join the official Terraria Forums at: https://forums.terraria.org/",https://play-lh.googleusercontent.com/BoAvMI_6JGNRBp_3gFaVuLuqW_4J-rjtbR_giKFoJRvZmDiPtDlnLMur9cT7sTTfeos,Adventure,4.5667114,"5,000,000+"
DOOM,com.bethsoft.DOOM,"Celebrate DOOM’s 25th anniversary with the  re-release of the original DOOM (1993),  including the expansion, Thy Flesh Consumed, is now available on Android devices. First released in 1993, DOOM introduced millions of gamers to the fast-paced, white-knuckle, demon-slaying action the franchise is known for.

Relive the birth of the first-person shooter, wherever you go, and experience the classic demon-blasting fun that popularized the genre.",https://play-lh.googleusercontent.com/YgGvZhPQJB5A7ORRKmZtm7X-uzgyb9K0AUPzibzR77ajDN4hKy7L8EyYn6l0KYiryA,Action,4.266667,"100,000+"
Dead Cells,com.playdigious.deadcells.mobile,"* RETURN TO CASTLEVANIA DLC *
Time for some vampire slaying
• New storyline - overcome the Ruler of Darkness alongside Alucard and Richter Belmont,
• 2 new biomes - Explore Dracula's Castle and its outskirts
• 9 new monsters - Werewolves, haunted armors, and medusas are waiting for you
• 14 new weapons - wield the Vampire Killer or the Holy Water to defeat creatures of the night,
• 3 new bosses - go fangs to fangs against Death and Dracula himself
• 20 new outfits - dress as your favorite Castlevania characters such as Simon and Richter Belmont or Alucard
• Alternative soundtracks - play along 51 Castlevania original tracks and 12 tunes reimagined in the style of Dead Cells

Death is not the end.
Play as a failed alchemic experiment and explore the sprawling, ever-changing castle to find out what happened on this gloomy island…! 
That is, assuming you’re able to fight your way past its keepers.

Dead Cells is a roguevania action platformer that will require you to master frantic 2D combat with a wide variety of weapons and skills against merciless minions and boss.

Kill. Die. Learn. Repeat.

First available on PC and consoles, the indie hit Dead Cells is now slaying foes on mobile!

Main Features
• Roguevania: The progressive exploration of an interconnected world, with the replayability of a rogue-lite and the adrenaline pumping threat of permadeath

• Frantic and Dynamic 2D Action: Learn your enemies’ patterns to stay alive, or prepare to be sent back to your cell before you can say “baguette”

• Nonlinear Progression: Unlock new levels with every death, opt for the path that suits your current build, your playstyle or just your mood. 
Surely, the ramparts can’t be as bad the sewers, right?

• Play at your own pace: Will you explore every nook and cranny of the castle, or rush to the end?

THE BAD SEED DLC
You reap what you sow
• New levels to lose your head in: the not-so-peaceful Dilapidated Arboretum and the noxious Morass of the Banished
• New monsters to rip to pieces: get to know the locals, such as the Jerkshroom and the Yeeter
• New weapons to play with: trim sticking out heads with the Scythe Claw, or make them dance to the sound of the Rhythm n' Bouzouki
• New boss to fight against: Mama Tick is dying to meet you

FATAL FALLS DLC
Ready for a leap of faith?
• 3 new biomes - Get some fresh air at the Fractured Shrines, splash around at the Undying Shores and take a picture at the Mausoleum
• 8 new monsters - The Cold Blooded Guardians and their friends would love to teach you about their culture. ... Wait, aren't those relatives of yours in the Undying Shores...?
• 7 new weapons - lil' Serenade is perfect for breaking the ice with the locals, although the Snake Fangs would make for a perfect souvenir...
• 1 new boss - The Scarecrow is very proud of his gardening skills and won't hesitate to show off


QUEEN AND THE SEA  DLC
Take it to the sea!
• 2 new biomes - Battle your way through a rotten shipwreck, or scale a burning lighthouse and confront your deadliest foe yet.
• 9 new weapons, including a throwable shark, a trident and a pirate hook hand (eyepatch not included). 
• 2 new bosses - Don't lose your head before you meet the Queen!

This DLC also gives you the usual extras: 
- A not-so-cute pet. 
- Loads of new outfits. 
- New enemies to bash.

WARNING : Devices with less than 2gb of RAM may not be able to run this content correctly. We reccomend not to take this DLC if your device is under 2gb of RAM.


Carefully redesigned for mobile with a revamped interface
• Two game modes available: Original & Auto-Hit

• Custom controls & More touch controls options available: Change the buttons’ position and size to your liking, swipe to dodge…

• MFi external controller support

• No ads, no F2P mechanics!

If you run into a problem, please contact us at support@playdigious.mail.helpshift.com
 with as much information as possible on the issue.",https://play-lh.googleusercontent.com/Mn9NateYFRZQbWnlZvszDPoKZbeuZM2O-Kyn7EKRCZI3D8joecHqytfOx73IyuAwHw,Action,4.741325,"1,000,000+"
Five Nights at Freddy's,com.scottgames.fivenightsatfreddys,"NOTE: Remastered version from the PC version. A device with at least 2 GB of RAM is required for this game to run properly.

Welcome to your new summer job at Freddy Fazbear's Pizza, where kids and parents alike come for entertainment and food as far as the eye can see! The main attraction is Freddy Fazbear, of course; and his two friends. They are animatronic robots, programmed to please the crowds! The robots' behavior has become somewhat unpredictable at night however, and it was much cheaper to hire you as a security guard than to find a repairman.

From your small office you must watch the security cameras carefully. You have a very limited amount of electricity that you're allowed to use per night (corporate budget cuts, you know). That means when you run out of power for the night- no more security doors and no more lights! If something isn't right- namely if Freddybear or his friends aren't in their proper places, you must find them on the monitors and protect yourself if needed!

Can you survive five nights at Freddy's?

NOTE: Interface and audio in English. Subtitles in English, French, German, Dutch, Spanish (Latin America), Italian, Portuguese (Brazil), Russian, Japanese, Chinese (Simplified), Korean.

#MadeWithFusion",https://play-lh.googleusercontent.com/myJ2kwywsCRglKkZuHBq6Aku9PX7HB75v-8KbnTK9JOPU6z0hpD9xtvjiTGqrn-e4eI,Action,4.7543793,"1,000,000+"
Mini Metro,nz.co.codepoint.minimetro,"Mini Metro, the sublime subway simulator, now on Android. No ads or in-app purchases.

• 2016 BAFTA nominee
• 2016 IGF award winner
• 2016 IGN Mobile Game of the Year finalist
• 2016 Gamespot's Best Mobile Game selection

Mini Metro is a game about designing a subway map for a growing city. Draw lines between stations and start your trains running. As new stations open, redraw your lines to keep them efficient. Decide where to use your limited resources. How long can you keep the city moving?

• Random city growth means each game is unique.
• Over two dozen of real-world cities to test your planning skills.
• A variety of upgrades so you can tailor your network.
• Normal mode for quick scored games, Endless to relax, or Extreme for the ultimate challenge.
• Build your metro exactly how you want to with the all-new Creative mode.
• Compete against the world every day in the Daily Challenge.
• Colorblind and night modes.
• Responsive soundtrack created by your metro system, engineered by Disasterpeace.

Please note that Mini Metro is incompatible with some Bluetooth headphones. If you do not hear audio over Bluetooth, please try disconnecting your headphones and restarting the game.",https://play-lh.googleusercontent.com/sYT8DvhamkCuurGsoSXv-2xz8pLsJ50rwQFWmnSVpGWwA45joHUktVSu06nbIW8_tw,Simulation,4.614841,"1,000,000+"
Hitman Sniper,com.squareenixmontreal.hitmansniperandroid,"Step into the shoes of Agent 47 in Hitman Sniper and play the best sniper shooting game on mobile.

PLAY A TACTICAL SNIPER MISSION GAME
Strike with strategic shooting skills, fulfilling your duty to orchestrate the perfect assassination kill shot.


BATTLE ZOMBIES IN DEATH VALLEY
Call on non-stop shooting action as a zombie hunter, in a true battle of your skills and speed of execution.

150+ MISSIONS & 10 DIFFERENT CONTRACTS
Improve your strike skills on mobile for the perfect assassination as you uncover secrets and subterfuges in this fun game.

MOST BEAUTIFUL SNIPER GAME 
Awesome and smooth graphics that make for addictive gameplay on top of a thrilling story.

PLAY WITH 16 UNIQUE GUNS
Eliminate targets, collect weapon parts and complete blueprints to unlock the most powerful guns.

COMPETE AGAINST YOUR FRIENDS FOR THE FIRST PLACE IN THE LEADERBOARDS
Boost your score and climb up the contract killer ranks classic with classic creative hitman kills to become the world's finest silent assassin.",https://play-lh.googleusercontent.com/t8VJAWO7ioG9uGhkPOs7q7ZfKjigeMGFBq134VJKLVU_jKDn9VEz9Oqg1iXQ9axI7aE,Action,4.0964074,"10,000,000+"
Stardew Valley,com.chucklefish.stardewvalley,"Stardew Valley comes to Mobile!

Move to the countryside, and cultivate a new life in this award-winning open-ended farming RPG! With over 50+ hours of gameplay content and new Mobile-specific features, such as auto-save and multiple controls options.

**Winner of the Golden Joysticks' Breakthrough Award**
**Nominee of Game of the Year 2017 - BAFTA Games Awards**

---

BUILD THE FARM OF YOUR DREAMS:

■ Turn your overgrown fields into a lively and bountiful farm

■ Raise and breed happy animals, grow a variety of seasonal crops and design your farm, your way

■ Customize your farmer and home! With hundreds of options to choose from

■ Settle down and start a family with 12 potential marriage candidates

■ Become part of the community by taking part in seasonal festivals and villager quests

■ Explore vast, mysterious caves, encountering dangerous monsters and valuable treasure

■ Spend a relaxing afternoon at one of the local fishing spots or go crabbing by the seaside

■ Forage, grow crops and produce artisan goods to cook up as a delicious meal

■ Rebuilt for touch-screen gameplay on Android with mobile-specific features, such as auto-select to toggle quickly between your farming tools and auto-attack to swiftly take down fiendish monsters in the mines

■ Newly Updated Single Player Content - Including new town upgrades, dating events, crops, fishing ponds, hats, clothing, and new pets! Plus more to be discovered...

■ Play the game your way with multiple controls options, such as touch-screen, virtual joystick, and external controller support.

---

""Stardew Valley beautifully combines farm simulation with RPG elements to create an intriguing, absorbing rural world."" - IGN

“Far more than just a farming game... filled with seemingly endless content and heart.” Giant Bomb

“Stardew Valley has been the most rich and heartwarming experience I’ve had in a game in years.” CG Magazine

---

Note: Features 1.4 update story content, multiplayer functionality not supported. No in-app purchases.",https://play-lh.googleusercontent.com/He92papZcOmkgTi1sLHXQQb02aoyRtJ8ml96njM_cSAcpHhILvxMjhLix4mYEIKXPq4,Role Playing,4.543472,"1,000,000+"
Minecraft,com.mojang.minecraftpe,"Minecraft is a game made from blocks that you can transform into whatever you can imagine. Play in Creative mode with unlimited resources, or hunt for tools to fend off danger in Survival mode. With seamless cross-platform play on Minecraft: Bedrock Edition you can adventure solo or with friends, and discover an infinite, randomly generated world filled with blocks to mine, biomes to explore and mobs to befriend (or fight). The choice is yours in Minecraft – so play your way! 

EXPAND YOUR GAME: 
Minecraft Marketplace - Discover the latest community creations in the marketplace! Get unique worlds, skins, and texture packs from your favorite creators. 
 
Slash commands - Tweak how the game plays: you can give items away, summon mobs, change the time of day, and more. 
 
Add-Ons - Customize your experience even further with free Add-Ons! If you're more tech-inclined, you can modify data-driven behaviors in the game to create new resource packs. 

MULTIPLAYER 

Realms and Realms Plus - Play with up to 10 friends cross-platform, anytime, anywhere on Realms, your own private server that we host for you. With Realms Plus, get instant access to over 150 Marketplace items with new additions each month. Share with friends on your own private Realms server. Try a free 30-day trial in-app.

Multiplayer - Play with up to 4 friends with a free Xbox Live account online. 

Servers - Join free massive multiplayer servers and play with thousands of others! Discover gigantic community-run worlds, compete in unique mini-games and socialize in lobbies full of new friends! 
 
SUPPORT: https://www.minecraft.net/help 
LEARN MORE: https://www.minecraft.net/ 

MINIMUM RECOMMENDED SPECIFICATION 

To check the requirements for your device visit: https://help.minecraft.net/hc/en-us/articles/4409172223501",https://play-lh.googleusercontent.com/VSwHQjcAttxsLE47RuS4PqpC4LT7lCoSjE7Hx5AW_yCxtDvcnsHHvm5CTuL5BPN-uRTP,Arcade,4.465446,"50,000,000+"
